"property_id","landlord_id","property_name","property_type","full_address","post_code"
1,1,"Property_001","House","101 Example St, Sault Ste. Marie","P6A01"
2,2,"Property_002","Apartment","102 Example St, Sault Ste. Marie","P6A02"
3,3,"Property_003","Townhouse","103 Example St, Sault Ste. Marie","P6A03"
4,4,"Property_004","House","104 Example St, Sault Ste. Marie","P6A04"
5,5,"Property_005","Apartment","105 Example St, Sault Ste. Marie","P6A05"
6,6,"Property_006","Townhouse","106 Example St, Sault Ste. Marie","P6A06"
7,7,"Property_007","House","107 Example St, Sault Ste. Marie","P6A07"
8,8,"Property_008","Apartment","108 Example St, Sault Ste. Marie","P6A08"
9,9,"Property_009","Townhouse","109 Example St, Sault Ste. Marie","P6A09"
10,10,"Property_010","House","110 Example St, Sault Ste. Marie","P6A10"
11,11,"Property_011","Apartment","111 Example St, Sault Ste. Marie","P6A11"
12,12,"Property_012","Townhouse","112 Example St, Sault Ste. Marie","P6A12"
13,13,"Property_013","House","113 Example St, Sault Ste. Marie","P6A13"
14,14,"Property_014","Apartment","114 Example St, Sault Ste. Marie","P6A14"
15,15,"Property_015","Townhouse","115 Example St, Sault Ste. Marie","P6A15"
16,16,"Property_016","House","116 Example St, Sault Ste. Marie","P6A16"
17,17,"Property_017","Apartment","117 Example St, Sault Ste. Marie","P6A17"
18,18,"Property_018","Townhouse","118 Example St, Sault Ste. Marie","P6A18"
19,19,"Property_019","House","119 Example St, Sault Ste. Marie","P6A19"
20,20,"Property_020","Apartment","120 Example St, Sault Ste. Marie","P6A20"
21,1,"Property_021","Townhouse","121 Example St, Sault Ste. Marie","P6A21"
22,2,"Property_022","House","122 Example St, Sault Ste. Marie","P6A22"
23,3,"Property_023","Apartment","123 Example St, Sault Ste. Marie","P6A23"
24,4,"Property_024","Townhouse","124 Example St, Sault Ste. Marie","P6A24"
25,5,"Property_025","House","125 Example St, Sault Ste. Marie","P6A25"
26,6,"Property_026","Apartment","126 Example St, Sault Ste. Marie","P6A26"
27,7,"Property_027","Townhouse","127 Example St, Sault Ste. Marie","P6A27"
28,8,"Property_028","House","128 Example St, Sault Ste. Marie","P6A28"
29,9,"Property_029","Apartment","129 Example St, Sault Ste. Marie","P6A29"
30,10,"Property_030","Townhouse","130 Example St, Sault Ste. Marie","P6A30"
31,11,"Property_031","House","131 Example St, Sault Ste. Marie","P6A31"
32,12,"Property_032","Apartment","132 Example St, Sault Ste. Marie","P6A32"
33,13,"Property_033","Townhouse","133 Example St, Sault Ste. Marie","P6A33"
34,14,"Property_034","House","134 Example St, Sault Ste. Marie","P6A34"
35,15,"Property_035","Apartment","135 Example St, Sault Ste. Marie","P6A35"
36,16,"Property_036","Townhouse","136 Example St, Sault Ste. Marie","P6A36"
37,17,"Property_037","House","137 Example St, Sault Ste. Marie","P6A37"
38,18,"Property_038","Apartment","138 Example St, Sault Ste. Marie","P6A38"
39,19,"Property_039","Townhouse","139 Example St, Sault Ste. Marie","P6A39"
40,20,"Property_040","House","140 Example St, Sault Ste. Marie","P6A40"
41,1,"Property_041","Apartment","141 Example St, Sault Ste. Marie","P6A41"
42,2,"Property_042","Townhouse","142 Example St, Sault Ste. Marie","P6A42"
43,3,"Property_043","House","143 Example St, Sault Ste. Marie","P6A43"
44,4,"Property_044","Apartment","144 Example St, Sault Ste. Marie","P6A44"
45,5,"Property_045","Townhouse","145 Example St, Sault Ste. Marie","P6A45"
46,6,"Property_046","House","146 Example St, Sault Ste. Marie","P6A46"
47,7,"Property_047","Apartment","147 Example St, Sault Ste. Marie","P6A47"
48,8,"Property_048","Townhouse","148 Example St, Sault Ste. Marie","P6A48"
49,9,"Property_049","House","149 Example St, Sault Ste. Marie","P6A49"
50,10,"Property_050","Apartment","150 Example St, Sault Ste. Marie","P6A50"
51,11,"Property_051","Townhouse","151 Example St, Sault Ste. Marie","P6A51"
52,12,"Property_052","House","152 Example St, Sault Ste. Marie","P6A52"
53,13,"Property_053","Apartment","153 Example St, Sault Ste. Marie","P6A53"
54,14,"Property_054","Townhouse","154 Example St, Sault Ste. Marie","P6A54"
55,15,"Property_055","House","155 Example St, Sault Ste. Marie","P6A55"
56,16,"Property_056","Apartment","156 Example St, Sault Ste. Marie","P6A56"
57,17,"Property_057","Townhouse","157 Example St, Sault Ste. Marie","P6A57"
58,18,"Property_058","House","158 Example St, Sault Ste. Marie","P6A58"
59,19,"Property_059","Apartment","159 Example St, Sault Ste. Marie","P6A59"
60,20,"Property_060","Townhouse","160 Example St, Sault Ste. Marie","P6A60"
